date,weekday,selection,rank,market,relative_best_hall,predicted_mean,adjusted_edge,utility_edge,travel_minutes,travel_penalty,confidence,reason,risk_flags,shibuya_pick,shibuya_rank,toyoko_pick,toyoko_rank,mizonokuchi_pick,mizonokuchi_rank,fukutoshin_pick,fukutoshin_rank,ikegami_pick,ikegami_rank,kamata_pick,kamata_rank,keikyu_pick,keikyu_rank,ooimachi_pick,ooimachi_rank,yokohama_pick,yokohama_rank,tsurumi_pick,tsurumi_rank,kawasaki_pick,kawasaki_rank,center_minami_pick,center_minami_rank,kashimada_pick,kashimada_rank
2026-07-15,水,マルハンメガシティ2000蒲田7,B,蒲田,マルハンメガシティ2000蒲田7,91.0,41.0,33.0,18,8.0,0.9184,通常ベース,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-16,木,マルハン新宿東宝ビル店,A,副都心線北上,マルハン新宿東宝ビル店,123.1,73.1,45.1,38,28.0,0.8182,6のつく日・補助,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,A,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-17,金,YASUDA7（東池袋7号店）,S,副都心線北上,YASUDA7（東池袋7号店）,213.7,163.7,135.7,38,28.0,0.7037,7のつく日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,YASUDA7（東池袋7号店）,S,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,A,みとや大森町店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-18,土,マルハンメガシティ2000蒲田7,A,蒲田,マルハンメガシティ2000蒲田7,159.8,109.8,101.8,18,8.0,0.6667,土曜,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,A,見送り,NO BET,BIGディッパー大井町店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-19,日,エスパス日拓渋谷駅前新館,S,渋谷,エスパス日拓渋谷駅前新館,217.1,167.1,155.1,22,12.0,0.619,本館閉店後の日曜,[],エスパス日拓渋谷駅前新館,S,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-20,月,BIGディッパー戸越銀座店,B,池上線,BIGディッパー戸越銀座店,169.6,119.6,111.6,18,8.0,0.6522,1日・20日（絶対水準）,"[""祝日""]",見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-21,火,マルハン池袋 SLOT BASE,S,副都心線北上,マルハン池袋 SLOT BASE,431.4,381.4,353.4,38,28.0,0.5294,21日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン池袋 SLOT BASE,S,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-22,水,マルハン池袋 SLOT BASE,A,副都心線北上,マルハン池袋 SLOT BASE,189.1,139.1,111.1,38,28.0,0.5294,22日,[],エスパス日拓渋谷駅前新館,A,見送り,NO BET,見送り,NO BET,マルハン池袋 SLOT BASE,A,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C
2026-07-23,木,マルハン新宿東宝ビル店,A,副都心線北上,マルハン新宿東宝ビル店,158.5,108.5,80.5,38,28.0,0.6,23日・やばたにえん,[],見送り,NO BET,見送り,NO BET,エスパス日拓溝の口駅前新館,A,マルハン新宿東宝ビル店,A,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-24,金,みとや大森町店,A,京急線,みとや大森町店,163.0,113.0,75.0,48,38.0,0.7037,4のつく日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,A,見送り,NO BET,マルハンメガシティ2000蒲田7,B,みとや大森町店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-25,土,マルハンメガシティ2000蒲田7,A,蒲田,マルハンメガシティ2000蒲田7,159.8,109.8,101.8,18,8.0,0.6667,土曜,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-26,日,エスパス日拓渋谷駅前新館,S,渋谷,エスパス日拓渋谷駅前新館,217.1,167.1,155.1,22,12.0,0.619,本館閉店後の日曜,[],エスパス日拓渋谷駅前新館,S,見送り,NO BET,見送り,NO BET,マルハン池袋 SLOT BASE,A,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-27,月,YASUDA7（東池袋7号店）,S,副都心線北上,YASUDA7（東池袋7号店）,213.7,163.7,135.7,38,28.0,0.7037,7のつく日,[],エスパス日拓渋谷駅前新館,A,見送り,NO BET,見送り,NO BET,YASUDA7（東池袋7号店）,S,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,A,みとや大森町店,A,見送り,NO BET,見送り,NO BET,南武線尻手駅前店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-28,火,マルハン池袋 SLOT BASE,S,副都心線北上,マルハン池袋 SLOT BASE,225.1,175.1,147.1,38,28.0,0.5294,28日,[],楽園渋谷道玄坂店,A,見送り,NO BET,見送り,NO BET,マルハン池袋 SLOT BASE,S,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,ベルシティザシティ川崎店,A,見送り,NO BET,見送り,NO BET
2026-07-29,水,BIGディッパー戸越銀座店,B,池上線,BIGディッパー戸越銀座店,92.9,42.9,34.9,18,8.0,0.7241,9のつく日（絶対水準B）,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-30,木,マルハンメガシティ2000蒲田7,S,蒲田,マルハンメガシティ2000蒲田7,271.0,221.0,213.0,18,8.0,0.5294,30日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,S,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-31,金,マルハン新宿東宝ビル店,A,副都心線北上,マルハン新宿東宝ビル店,239.1,189.1,161.1,38,28.0,0.4667,31日・隠れ看板,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-01,土,BIGディッパー戸越銀座店,A,池上線,BIGディッパー戸越銀座店,169.6,119.6,111.6,18,8.0,0.6522,1日・20日（絶対水準）,[],エスパス日拓渋谷駅前新館,B,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,B,BIGディッパー戸越銀座店,A,マルハンメガシティ2000蒲田7,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-02,日,エスパス日拓渋谷駅前新館,S,渋谷,エスパス日拓渋谷駅前新館,217.1,167.1,155.1,22,12.0,0.619,本館閉店後の日曜,[],エスパス日拓渋谷駅前新館,S,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,アサヒ2鹿島田店,A
2026-08-03,月,マルハンメガシティ2000蒲田7,B,蒲田,マルハンメガシティ2000蒲田7,91.0,41.0,33.0,18,8.0,0.9184,通常ベース,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-04,火,みとや大森町店,A,京急線,みとや大森町店,163.0,113.0,75.0,48,38.0,0.7037,4のつく日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,B,みとや大森町店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-05,水,エスパス日拓渋谷駅前新館,S,渋谷,エスパス日拓渋谷駅前新館,213.2,163.2,151.2,22,12.0,0.6,5日,[],エスパス日拓渋谷駅前新館,S,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-06,木,マルハン新宿東宝ビル店,A,副都心線北上,マルハン新宿東宝ビル店,123.1,73.1,45.1,38,28.0,0.8182,6のつく日・補助,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,A,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-07,金,YASUDA7（東池袋7号店）,S,副都心線北上,YASUDA7（東池袋7号店）,213.7,163.7,135.7,38,28.0,0.7037,7のつく日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,YASUDA7（東池袋7号店）,S,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,A,みとや大森町店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-08,土,マルハンメガシティ2000蒲田7,A,蒲田,マルハンメガシティ2000蒲田7,185.2,135.2,127.2,18,8.0,0.4286,ゾロ目,[],エスパス日拓渋谷駅前新館,B,見送り,C,見送り,C,見送り,C,見送り,NO BET,マルハンメガシティ2000蒲田7,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-09,日,エスパス日拓渋谷駅前新館,A,渋谷,エスパス日拓渋谷駅前新館,217.1,167.1,155.1,22,12.0,0.619,本館閉店後の日曜,"[""盆帯""]",エスパス日拓渋谷駅前新館,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-10,月,マルハンメガシティ2000蒲田7,B,蒲田,マルハンメガシティ2000蒲田7,94.2,44.2,36.2,18,8.0,0.1111,蒲田1周年連動・相対谷,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,鶴見UNO,B,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-11,火,マルハンメガシティ2000 蒲田1,A,蒲田,マルハンメガシティ2000 蒲田1,159.2,109.2,101.2,18,8.0,0.4667,11日,[],エスパス日拓渋谷駅前新館,B,見送り,NO BET,見送り,NO BET,見送り,C,見送り,NO BET,マルハンメガシティ2000 蒲田1,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-12,水,マルハンメガシティ2000蒲田7,B,蒲田,マルハンメガシティ2000蒲田7,91.0,41.0,33.0,18,8.0,0.9184,通常ベース,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-13,木,マルハンメガシティ2000蒲田7,B,蒲田,マルハンメガシティ2000蒲田7,91.0,41.0,33.0,18,8.0,0.9184,通常ベース,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-14,金,みとや大森町店,B,京急線,みとや大森町店,163.0,113.0,75.0,48,38.0,0.7037,4のつく日,"[""盆帯""]",見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,B,みとや大森町店,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-15,土,マルハンメガシティ2000蒲田7,A,蒲田,マルハンメガシティ2000蒲田7,159.8,109.8,101.8,18,8.0,0.6667,土曜,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C,マルハンメガシティ2000蒲田7,A,見送り,NO BET,BIGディッパー大井町店,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-16,日,エスパス日拓渋谷駅前新館,A,渋谷,エスパス日拓渋谷駅前新館,217.1,167.1,155.1,22,12.0,0.6164,本館閉店後の日曜,"[""盆帯""]",エスパス日拓渋谷駅前新館,A,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,B,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-17,月,YASUDA7（東池袋7号店）,S,副都心線北上,YASUDA7（東池袋7号店）,213.7,163.7,135.7,38,28.0,0.6979,7のつく日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,YASUDA7（東池袋7号店）,S,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,A,みとや大森町店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-18,火,ベルシティザシティ川崎店,A,川崎,ベルシティザシティ川崎店,77.0,77.0,49.0,38,28.0,0.3798,平日の8のつく日・直近上昇レジーム,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,ベルシティザシティ川崎店,A,見送り,NO BET,見送り,NO BET
2026-08-19,水,BIGディッパー戸越銀座店,B,池上線,BIGディッパー戸越銀座店,92.9,42.9,34.9,18,8.0,0.7121,9のつく日（絶対水準B）,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-20,木,BIGディッパー戸越銀座店,A,池上線,BIGディッパー戸越銀座店,169.6,119.6,111.6,18,8.0,0.6388,1日・20日（絶対水準）,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,A,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-21,金,マルハン池袋 SLOT BASE,S,副都心線北上,マルハン池袋 SLOT BASE,431.4,381.4,353.4,38,28.0,0.5163,21日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン池袋 SLOT BASE,S,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-22,土,マルハン池袋 SLOT BASE,A,副都心線北上,マルハン池袋 SLOT BASE,189.1,139.1,111.1,38,28.0,0.5142,22日,[],エスパス日拓渋谷駅前新館,A,見送り,NO BET,見送り,NO BET,マルハン池袋 SLOT BASE,A,見送り,NO BET,マルハンメガシティ2000蒲田7,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C
2026-08-23,日,エスパス日拓渋谷駅前新館,S,渋谷,エスパス日拓渋谷駅前新館,217.1,167.1,155.1,22,12.0,0.5987,本館閉店後の日曜,[],エスパス日拓渋谷駅前新館,S,見送り,NO BET,エスパス日拓溝の口駅前新館,B,マルハン新宿東宝ビル店,A,BIGディッパー戸越銀座店,B,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-24,月,みとや大森町店,A,京急線,みとや大森町店,163.0,113.0,75.0,48,38.0,0.6778,4のつく日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,A,見送り,NO BET,マルハンメガシティ2000蒲田7,B,みとや大森町店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-25,火,マルハンメガシティ2000蒲田7,B,蒲田,マルハンメガシティ2000蒲田7,91.0,41.0,33.0,18,8.0,0.8809,通常ベース,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-26,水,マルハン池袋 SLOT BASE,A,副都心線北上,マルハン池袋 SLOT BASE,213.7,163.7,135.7,38,28.0,0.4776,26日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン池袋 SLOT BASE,A,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-27,木,YASUDA7（東池袋7号店）,S,副都心線北上,YASUDA7（東池袋7号店）,213.7,163.7,135.7,38,28.0,0.6694,7のつく日,[],エスパス日拓渋谷駅前新館,A,見送り,NO BET,見送り,NO BET,YASUDA7（東池袋7号店）,S,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,A,みとや大森町店,A,見送り,NO BET,見送り,NO BET,南武線尻手駅前店,B,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-28,金,マルハン池袋 SLOT BASE,S,副都心線北上,マルハン池袋 SLOT BASE,225.1,175.1,147.1,38,28.0,0.5015,28日,[],楽園渋谷道玄坂店,A,見送り,NO BET,見送り,NO BET,マルハン池袋 SLOT BASE,S,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,ベルシティザシティ川崎店,A,見送り,NO BET,見送り,NO BET
2026-08-29,土,マルハンメガシティ2000蒲田7,A,蒲田,マルハンメガシティ2000蒲田7,159.8,109.8,101.8,18,8.0,0.6289,土曜,[],見送り,NO BET,レッドロック学芸大学駅前店,A,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-30,日,エスパス日拓渋谷駅前新館,S,渋谷,エスパス日拓渋谷駅前新館,217.1,167.1,155.1,22,12.0,0.5815,本館閉店後の日曜,[],エスパス日拓渋谷駅前新館,S,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000 蒲田1,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-08-31,月,マルハン新宿東宝ビル店,A,副都心線北上,マルハン新宿東宝ビル店,239.1,189.1,161.1,38,28.0,0.4366,31日・隠れ看板,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-01,火,BIGディッパー戸越銀座店,A,池上線,BIGディッパー戸越銀座店,169.6,119.6,111.6,18,8.0,0.6076,1日・20日（絶対水準）,[],エスパス日拓渋谷駅前新館,B,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,A,BIGディッパー戸越銀座店,A,マルハンメガシティ2000 蒲田1,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-02,水,アサヒ2鹿島田店,A,鹿島田,アサヒ2鹿島田店,136.6,136.6,112.6,34,24.0,0.3918,毎月2日・現行運用パッケージ,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,アサヒ2鹿島田店,A
2026-09-03,木,マルハンメガシティ2000蒲田7,B,蒲田,マルハンメガシティ2000蒲田7,91.0,41.0,33.0,18,8.0,0.8485,通常ベース,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-04,金,みとや大森町店,A,京急線,みとや大森町店,163.0,113.0,75.0,48,38.0,0.6474,4のつく日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,B,みとや大森町店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-05,土,エスパス日拓渋谷駅前新館,S,渋谷,エスパス日拓渋谷駅前新館,213.2,163.2,151.2,22,12.0,0.5497,5日,[],エスパス日拓渋谷駅前新館,S,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-06,日,エスパス日拓渋谷駅前新館,S,渋谷,エスパス日拓渋谷駅前新館,217.1,167.1,155.1,22,12.0,0.5648,本館閉店後の日曜,[],エスパス日拓渋谷駅前新館,S,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,A,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-09-07,月,YASUDA7（東池袋7号店）,S,副都心線北上,YASUDA7（東池袋7号店）,213.7,163.7,135.7,38,28.0,0.6394,7のつく日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,YASUDA7（東池袋7号店）,S,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,A,みとや大森町店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
